"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
70620,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,3,1,"3345,9790516796775",1
71125,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,4,1,2,2,"4019,6213728839575",1
71159,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,4,1,6,4,"8659,931330269355",1
71439,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,3,1,1,1,"3591,06250105778",1
71440,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,1,1,"979,8723832634298",1
71441,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,2,1,"3353,3477573475066",1
71472,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,4,1,3,1,"2964,334203698091",1
71560,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dêbniki,NotSafe,3,1,2,2,"6596,1644312218905",1
71618,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,5,1,3,3,"9917,696267501826",1
71646,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,5,1,4,1,"3585,6267238822084",1
71979,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,1,1,"3264,0187352326748",1
72060,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,2,1,"3528,047652592131",1
72149,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,4,1,3,1,"1553,9852836276973",1
72515,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,1,1,"1948,1076882854916",1
72516,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,2,1,"1009,5536422953994",1
72655,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,1,3,1,"3472,30546915512",1
72762,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,5,3,2,1,"3403,6618371498844",1
72867,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,3,2,1,1,"3550,244688131603",1
72946,281906e8-4f34-4e81-8348-fdc5b8e2685a,Podgórze Duchackie,NotSafe,3,1,2,2,"3743,6345229518183",1
